id,name,ingredients,effect,suitable,steps,taboo,images,ancient_quote
16,山药枸杞粥,山药、枸杞、粳米,健脾益肾，补气养血,平和质、阴虚质,1. 粳米100g淘洗浸泡30分钟；2. 鲜山药200g去皮切块泡水防氧化；3. 砂锅加水1L，下粳米煮沸转小火熬30分钟；4. 加入山药块继续熬煮20分钟；5. 粥稠前5分钟加入枸杞10g稍煮即可。,忌与甘遂同用；发热、实邪初起者不宜多食枸杞。,shanyaogouqi.png,《医学衷中参西录》：山药滋阴又补气，润肺又生津；配以枸杞，以敛气生津，最宜虚劳。
17,红枣莲子汤,红枣、莲子、冰糖,补中益气，养心安神,平和质,1. 莲子30g（去心）温水浸泡2小时；2. 红枣20g（约6枚）去核；3. 砂锅加水800ml，下莲子大火烧开转小火炖40分钟；4. 加入红枣继续炖20分钟；5. 加冰糖15g融化。,忌与大葱、海鲜同食；湿热重及消化不良者忌食红枣。,hongzaolianzi.png,《太平圣惠方》：治心烦不寐，以莲子清心醒脾，配大枣补中益气。
18,百合银耳羹,百合、银耳、冰糖,润肺养阴，清热安神,平和质、阴虚质,1. 银耳10g泡发撕碎；2. 干百合15g泡发洗净；3. 砂锅加水1L，下银耳极小火慢炖1小时出胶；4. 加入百合炖15分钟；5. 加冰糖20g调味。,风寒咳嗽、大便滑泄者不宜食用。,baiheyiner.png,《本草诗解》：银耳有麦冬之润而无其寒；百合敛气安神。二者同煮，诚润肺滋阴之要品。
19,黄芪炖鸡,黄芪、鸡肉、生姜、红枣,补气固表，增强免疫力,平和质、气虚质、阳虚质,1. 鸡肉500g焯水去腥；2. 黄芪15g洗净，红枣15g去核，生姜10g切片；3. 砂锅加水1.5L，放入所有食材；4. 大火煮沸转小火慢炖1.5-2小时；5. 加盐3g调味。,忌与萝卜同食（解黄芪药效）；感冒发热、高血压者忌服。,huangqidunji.png,《随息居饮食谱》：黄芪补气固表，鸡肉温中益气。同炖可大补元气，治虚劳羸瘦。
20,黑芝麻糊,黑芝麻、糯米、冰糖,补肝肾，益精血，润燥通便,平和质、阴虚质,1. 黑芝麻50g炒香晾凉，糯米50g提前浸泡2小时；2. 放入破壁机，加水400ml打碎并煮熟；3. 倒出前加冰糖20g搅匀。,忌与鸡肉同食；慢性肠炎、便溏腹泻者忌食。,heizhimahu.png,《神农本草经》：芝麻补五内，益气力；久服轻身不老。乃滋补肝肾之佳品。
21,薏米红豆汤,薏米、红豆、冰糖,健脾祛湿，利水消肿,平和质、湿热质,1. 薏米30g干炒微黄，赤小豆30g，同泡4小时；2. 入砂锅加水1L；3. 熬煮1.5-2小时至豆开花；4. 加冰糖15g调味。,孕妇及津液枯渴者不宜饮用。,yimihongdou.png,《本草纲目》：薏苡仁健脾益胃，祛风胜湿；配以赤小豆，利水消肿，同为祛湿之良方。
22,桂圆红枣茶,桂圆、红枣、红糖,补血养心，安神益智,平和质、气虚质,1. 桂圆干15g去壳，红枣20g去核剪开；2. 加水500ml大火煮沸；3. 转小火煮10-15分钟；4. 加红糖10g融化。,内有实热、糖尿病患者忌服。,guiyuanhongzao.png,《济生方》：归脾汤之意，以龙眼肉健脾养心，大枣补血，治思虑过度，劳伤心脾。
23,核桃仁粥,核桃仁、粳米、红糖,补肾健脑，润肠通便,平和质、阳虚质,1. 核桃仁30g焯水去涩切碎；2. 粳米100g浸泡半小时；3. 锅加水1L煮沸下粳米熬30分钟；4. 下核桃碎熬15分钟；5. 加红糖15g调味。,阴虚火旺、大便溏稀者忌服核桃。,hetaorenzhou.png,《中医食疗学》：此膳具有【补肾健脑，润肠通便】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
24,党参炖排骨,党参、排骨、生姜,补中益气，健脾养胃,平和质、气虚质,1. 排骨400g焯水洗净；2. 党参15g切段，生姜10g切片；3. 砂锅加水1.2L，放入所有食材；4. 大火烧开转小火炖1.5小时；5. 加盐3g调味。,忌与萝卜同食；热证、实证患者忌食。,dangshendunpaigu.png,《本草正义》：党参力能补脾养胃，润肺生津，健运中气。本膳以健脾补气为主。
25,茯苓饼,茯苓粉、面粉、蜂蜜,健脾利湿，宁心安神,平和质,1. 茯苓粉50g与面粉100g混匀；2. 加温水揉成面团醒15分钟；3. 擀成薄饼，平底锅微热烙熟；4. 食用时涂抹蜂蜜20g。,忌与醋同食；糖尿病患者慎用蜂蜜。,fulingbing.png,《神农本草经》：茯苓主胸胁逆气，补中健胃。此膳以利水渗湿，健脾宁心见长。
26,桑葚粥,桑葚、粳米、冰糖,滋阴补血，生津润燥,平和质、阴虚质,1. 鲜桑葚50g淡盐水洗净（或干品20g）；2. 粳米100g入锅加水1L熬30分钟；3. 加入桑葚小火熬15分钟至汤紫；4. 加冰糖15g。,脾胃虚寒、大便稀溏者忌食桑葚。,sangshenzhou.png,《中医食疗学》：此膳具有【滋阴补血，生津润燥】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
27,陈皮瘦肉汤,陈皮、瘦肉、生姜,理气健脾，燥湿化痰,平和质、痰湿质,1. 陈皮5g泡软刮白瓤切丝；2. 瘦肉200g切片焯水；3. 砂锅加水800ml，下瘦肉、陈皮、姜片10g；4. 慢炖1小时；5. 加盐2g调味。,阴虚燥咳及内有实热者忌用陈皮。,chenpishourou.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
28,蜂蜜柠檬水,蜂蜜、柠檬、温水,润肺止咳，清热解毒,平和质,1. 鲜柠檬切1-2薄片去籽；2. 倒入300ml 45度温水冲泡；3. 水温降至不烫手加蜂蜜15g搅匀。,胃溃疡、胃酸过多者慎饮。,fengmilimeng.png,《中医食疗学》：此膳具有【润肺止咳，清热解毒】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
29,花生猪蹄汤,花生、猪蹄、生姜,补血通乳，强筋健骨,平和质,1. 猪蹄500g焯水去腥；2. 红皮花生50g浸泡1小时；3. 砂锅加水1.5L，下猪蹄、花生、姜片15g；4. 慢炖2小时至脱骨；5. 加盐3g调味。,肝炎、动脉硬化、肠胃病患者慎食。,huashengzhuti.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
30,党参红枣粥,党参、红枣、粳米,健脾益气，补中养胃,气虚质,1. 党参15g切段，红枣20g去核；2. 粳米100g浸泡半小时；3. 党参煮20分钟去渣留汁（或同煮）；4. 加入粳米、红枣加水至1L熬40分钟。,胸腹胀满内有实热者不宜服用党参。,dangshenhongzao.png,《本草正义》：党参力能补脾养胃，润肺生津，健运中气。本膳以健脾补气为主。
31,山药排骨汤,山药、排骨、枸杞、生姜,补脾益肺，固肾养气,气虚质,1. 排骨300g焯水，鲜山药200g去皮切块；2. 砂锅加水1.2L，下排骨姜片10g炖1小时；3. 下山药炖30分钟；4. 出锅前加枸杞10g、盐3g。,体内湿热重、积滞者不宜多喝。,shanyaopaigu.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
32,人参乌鸡汤,人参、乌鸡、黄芪、当归,大补元气，滋阴养血,气虚质,1. 乌鸡500g焯水；2. 生晒参/西洋参10g、黄芪15g、当归5g洗净；3. 砂锅垫姜片15g，加水1.5L隔水炖2.5小时；4. 加盐3g。,忌与萝卜、茶同服；感冒发热、阴虚火旺者禁忌。,renshenwuji.png,《本草纲目》：黄芪为补气之要药。此膳用以益气固表，升阳举陷。
33,茯苓薏米粥,茯苓、薏米、粳米,健脾祛湿，益气安神,气虚质,1. 薏米30g炒微黄浸泡2小时；2. 粳米80g，茯苓粉15g；3. 砂锅加水1L下薏米粳米熬40分钟；4. 熟前加入茯苓粉搅匀。,孕妇及津枯便秘者忌服薏米。,fulingyimi.png,《神农本草经》：茯苓主胸胁逆气，补中健胃。此膳以利水渗湿，健脾宁心见长。
34,白术猪肚汤,白术、猪肚、生姜、白胡椒,健脾益气，燥湿利水,气虚质、痰湿质,1. 猪肚半个洗净焯水切条；2. 白术15g，生姜15g，白胡椒粒3g碾碎装包；3. 砂锅加水1.5L，炖1.5-2小时；4. 捞出料包加盐3g。,阴虚内热、胃火旺盛者慎用白术。,baizhuzhudu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
