id,name,tag,effect,suitable,avoid,methods,images,AncientBooks
1,黄芪,补气,补气升阳、固表止汗,气虚质、阳虚质,萝卜、浓茶,煎服、泡水、煲汤,huangqi.png,本草纲目：「补诸虚，止汗，托疮生肌」
2,人参,补气,大补元气、复脉固脱,气虚质、阳虚质,萝卜、藜芦、浓茶,煎服、泡酒、煲汤,renshen.png,本草纲目：「补五脏，安精神，止惊悸，明目开心益智」
3,党参,补气,补中益气、健脾益肺,气虚质、阳虚质,萝卜、浓茶,煎服、煲汤、煮粥,dangshen.png,饮膳正要：「补中益气，和脾胃，治脾肺虚弱」
4,山药,补气、滋阴,益气养阴、补脾肺肾,气虚质、脾虚质,猪肝、黄瓜、南瓜,煮粥、煲汤、蒸制,shanyao.png,食疗本草：「治头疼，利丈夫，助阴力。和面作馎饦，则微动气，为不能制面毒也。熟煮和蜜，或为汤煎，或为粉，并佳。干之入药更妙也」；饮膳正要：「补虚羸，益元气，健脾补肺」
5,大枣,补气、补血,补中益气、养血安神,气虚质、血虚质,海鲜、葱、黄瓜,煮粥、泡茶、煲汤,dazao.png,食疗本草：「主补津液、养脾气、强志。三年陈者核中仁：主恶气、卒忤。洗心腹邪气，和百药毒。通九窍，补不足气」；饮膳正要：「主补中益气，坚志强力，除烦闷」
6,糯米,补气、健脾,补中益气、健脾养胃,气虚质、脾虚质,鸡肉、苹果,煮粥、包粽子,nuomi.png,食疗本草：「寒。右主补中焦，养神，益气力，除百病。久服轻身耐寒，不饥延年」；饮膳正要：「温中益气，补脾胃」
7,鸡肉,补气,温中益气、补精填髓,气虚质、阳虚质,鲤鱼、大蒜、芥末,煲汤、清炖、红烧,jirou.png,食疗本草：「丹雄鸡、乌雄鸡、乌雌鸡、黄雌鸡各有所主，补虚、除心腹恶气、安胎、补阳气」；饮膳正要：「温中补虚，益气养血，治虚劳羸瘦」
8,牛肉,补气、补血,补脾胃、益气血、强筋骨,气虚质、血虚质,韭菜、白酒、板栗,炖煮、红烧、煲汤,niurou.png,食疗本草：「牛者稼穑之资，不多屠杀。自死者不堪食。黄牛发药动病，黑牛尤不可食。头蹄下热风，肝治痢，肚主消渴、补五脏」；饮膳正要：「补脾胃，益气力，强筋骨」
9,当归,补血,补血活血、调经止痛,血虚质、血瘀质,萝卜、浓茶、绿豆,煎服、煲汤、泡酒,danggui.png,饮膳正要：「补血和血，调经止痛，润燥滑肠」
10,桂圆,补气、补血、温阳,补益心脾、养血安神,血虚质、阳虚质,绿豆、西瓜、冷饮,泡茶、煮粥、煲汤,guiyuan.png,本草纲目：「补心脾，益气血，安神志」；饮膳正要：「补益心脾，养血安神，治健忘怔忡」
11,猪肝,补血,补肝明目、养血,血虚质,豆芽、西红柿、辣椒,爆炒、煲汤、煮粥,zhugan.png,饮膳正要：「补肝明目，养血，治肝虚目暗」
12,红肉(猪/牛),补血,补铁养血、滋养脾胃,血虚质,浓茶、柿子,炖煮、爆炒、煲汤,hongrou.png,本草纲目：「补中益气，养血强体」；饮膳正要：「补益气血，滋养脾胃」
13,黑芝麻,补血、滋阴,补肝肾、益精血、润肠燥,血虚质、阴虚质,鸡肉、鸭肉,煮粥、磨粉、煲汤,heizhima.png,食疗本草：「润五藏，主火灼。填骨髓，补虚气」；饮膳正要：「补肝肾，益精血，润肠燥」
14,樱桃,补血,补中益气、祛风除湿,血虚质,黄瓜、胡萝卜,直接食用、榨汁、煮粥,yingtao.png,食疗本草：「热。益气，多食无损。令人好颜色，美志，甚补中益气，主水谷痢，止泄精」；饮膳正要：「补中益气，祛风除湿，调中」
15,红糖,补血、健脾,益气养血、健脾暖胃,血虚质、阳虚质,皮蛋、牛奶,冲水、煮粥、煲汤,hongtang.png,饮膳正要：「益气养血，健脾暖胃，缓中止痛」
16,银耳,滋阴,滋阴润肺、养胃生津,阴虚质,菠菜、浓茶,炖汤、煮粥、凉拌,yiner.png,饮膳正要：「滋阴润肺，养胃生津，治虚劳咳嗽」
17,百合,滋阴,养阴润肺、清心安神,阴虚质、气郁质,羊肉、狗肉,炖汤、煮粥、泡茶,baihe.png,食疗本草：「平。主心急黄，蒸过，蜜和食之。作粉尤佳。红花者名山丹，不堪食」；饮膳正要：「养阴润肺，清心安神，治虚烦惊悸」
18,麦冬,滋阴,养阴生津、润肺清心,阴虚质,鲫鱼、萝卜,泡茶、煲汤、煮粥,maidong.png,饮膳正要：「养阴生津，润肺清心，治虚热烦渴」
19,枸杞,滋阴,滋补肝肾、益精明目,阴虚质、肝肾不足,绿茶、狗肉、牛肉,泡茶、煲汤、煮粥,gouqi.png,本草纲目：「补肾益精，养肝明目」；饮膳正要：「滋补肝肾，益精明目，久服轻身不老」
20,鸭肉,滋阴,滋阴养胃、利水消肿,阴虚质,李子、甲鱼,煲汤、清炖、红烧,yarou.png,食疗本草：「白鸭肉补虚、消毒热、利水道，治小儿热惊痫、头生疮肿；野鸭补中益气、消食」；饮膳正要：「滋阴补虚，除热利水，治虚劳骨蒸」
21,梨,滋阴、清热,生津润燥、清热化痰,阴虚质、湿热质,螃蟹、热水,生吃、炖汤、榨汁,li.png,食疗本草：「寒。除客热，止心烦。不可多食。治卒咳嗽、胸中痞塞热结」；饮膳正要：「生津润燥，清热化痰，止渴」
