name,type,summary,ancient_quote
平和质,constitution,阴阳气血调和，形体肥瘦匀适，面色红润，精力充沛，脏腑功能状态强健壮实。,《黄帝内经》：“阴阳匀平，以充其形，九候若一，命曰平人。”
气虚质,constitution,元气不足，以神疲乏力、气短懒言、易出汗等气虚表现为主要特征。,《医学实在易》：“气虚者，阳之微也。”
阳虚质,constitution,阳气亏虚，以畏寒怕冷、手足不温等虚寒表现为主要特征。,《景岳全书》：“阳虚则外寒。”
阴虚质,constitution,地道精血亏少，以口燥咽干、手足心热等虚热表现为主要特征。,《景岳全书》：“阴虚则内热。”
痰湿质,constitution,痰湿凝聚，以形体肥胖、腹部肥满、口黏苔腻等痰湿表现为主要特征。,《证治标准》：“脾土虚弱，清者不升，浊者不降，留滞而为痰。”
湿热质,constitution,湿热内蕴，以面部油垢、口苦、便黏不爽等湿热表现为主要特征。,《温热论》：“湿热证，始恶寒，后但热不寒，汗出胸痞。”
血瘀质,constitution,血行不畅，以肤色晦黯、舌质紫黯、易出现瘀斑等血瘀表现为主要特征。,《医林改错》：“气为血之帅，血随气行，气停则血瘀。”
气郁质,constitution,气机郁滞，以神情抑郁、忧虑脆弱、脉弦等气郁表现为主要特征。,《丹溪心法》：“气血冲和，万病不生，一有怫郁，诸病生焉。”
特禀质,constitution,先天失调，主要表现在过敏体质、遗传性疾病或先天性缺陷等方面。,《黄帝内经》：“先天之气，受之于父母。”
补气,effect,通过食物或药物补充元气，增强各脏腑生理功能的方法。,《神农本草经》：“上药养命以应天，无毒，多服、久服不伤人。”
补血,effect,补充营血不足，改善血虚引发的面色苍白、心悸失眠等症状。,《本草纲目》：“当归，和血补血，圣药也。”
滋阴,effect,滋养阴液，制约虚火，适用于口干舌燥、五心烦热等阴虚症状。,《景岳全书》：“补阴之法，莫过于补肾。”
温阳,effect,通过温性的药食来扶助阳气，消除体内寒气，改善畏寒肢冷。,《医理真传》：“阳气充足，万病不生。”
健脾,effect,增强脾胃的运化功能，改善食欲不振、便溏、体倦乏力等症。,《医学衷中参西录》：“脾胃者，生化之源。”
清热,effect,清除体内火热毒邪，缓解发热、口渴、尿黄、便秘等热症。,《本草正义》：“苦寒之品，最能清热。”
理气,effect,调理气机，解决气滞或气逆引发的胸闷、腹胀、嗳气等症状。,《沈氏尊生书》：“治郁先理气。”
活血,effect,促进血液循环，消散瘀血，缓解痛经、色斑及各种瘀阻疼痛。,《医林改错》：“通则不痛，痛则不通。”
祛湿,effect,通过利水、化痰或温化等方式清除体内多余水湿，解决身体困重等症。,《金匮要略》：“湿家下之，额上微喘。”
解表,effect,疏散外感六淫之邪，多用于风寒或风热感冒初期，宣发肺气。,《伤寒论》：“太阳病，头痛至七日以上自愈者，以行其经尽故也。”
