id,name,tag,effect,suitable,avoid,methods,images,ancient_quote
1,黄芪,补气,补气升阳、固表止汗,气虚质、阳虚质,萝卜、浓茶,煎服、泡水、煲汤,huangqi.png,《本草纲目》：黄芪色黄，为补气之要药。
2,人参,补气,大补元气、复脉固脱,气虚质、阳虚质,萝卜、藜芦、浓茶,煎服、泡酒、煲汤,renshen.png,《神农本草经》：主补五脏，安精神，定魂魄，止惊悸，除邪气，明目，开心益智。
3,党参,补气,补中益气、健脾益肺,气虚质、阳虚质,萝卜、浓茶,煎服、煲汤、煮粥,dangshen.png,《本草正义》：党参力能补脾养胃，润肺生津，健运中气，本与人参不甚相远。
4,山药,补气、滋阴,益气养阴、补脾肺肾,气虚质、脾虚质,猪肝、黄瓜、南瓜,煮粥、煲汤、蒸制,shanyao.png,《神农本草经》：主伤中，补虚，羸瘦，除寒热邪气，补中益气力，长肌肉，久服耳目聪明。
5,大枣,补气、补血,补中益气、养血安神,气虚质、血虚质,海鲜、葱、黄瓜,煮粥、泡茶、煲汤,dazao.png,《神农本草经》：主心腹邪气，安中养脾，助十二经，平胃气，通九窍，补少气少津液。
6,糯米,补气、健脾,补中益气、健脾养胃,气虚质、脾虚质,鸡肉、苹果,煮粥、包粽子,nuomi.png,《本草纲目》：暖脾胃，止虚寒泄痢，缩小便，收自汗，发痘疮。
7,鸡肉,补气,温中益气、补精填髓,气虚质、阳虚质,鲤鱼、大蒜、芥末,煲汤、清炖、红烧,jirou.png,《食疗本草》：补五脏，益气力，强筋骨，添精髓。
8,牛肉,补气、补血,补脾胃、益气血、强筋骨,气虚质、血虚质,韭菜、白酒、板栗,炖煮、红烧、煲汤,niurou.png,《本草拾遗》：消水肿，除湿气，补虚，令人强筋骨、壮健。
9,当归,补血,补血活血、调经止痛,血虚质、血瘀质,萝卜、浓茶、绿豆,煎服、煲汤、泡酒,danggui.png,《神农本草经》：主咳逆上气，温疟寒热洗洗在皮肤中，妇人漏下，绝子，诸恶疮疡金疮。
10,桂圆,补气、补血、温阳,补益心脾、养血安神,血虚质、阳虚质,绿豆、西瓜、冷饮,泡茶、煮粥、煲汤,guiyuan.png,《本草纲目》：食品以荔枝为贵，而资益则龙眼为良，盖荔枝性热，而龙眼性和平也。
11,猪肝,补血,补肝明目、养血,血虚质,豆芽、西红柿、辣椒,爆炒、煲汤、煮粥,zhugan.png,《本草纲目》：猪肝，其性能补肝明目，治肝虚血枯。
